Id;Name;Firstname;Lastname;Age;Birth date;Birth place;Birth country;Nationality;Height;Weight;Injured;Photo;Team id;Team name;Team logo;League id;League name;League country;League logo;League flag;League season;Games appearences;Games lineups;Games minutes;Games number;Games position;Games rating;Games captain;Substitutes in;Substitutes out;Substitutes bench;Shots total;Shots on;Goals total;Goals conceded;Goals assists;Goals saves;Passes total;Passes key;Passes accuracy;Tackles total;Tackles blocks;Tackles interceptions;Duels total;Duels won;Dribbles attempts;Dribbles success;Dribbles past;Fouls drawn;Fouls committed;Cards yellow;Cards yellowred;Cards red;Penalty won;Penalty commited;Penalty scored;Penalty missed;Penalty saved
141;M. Wagué;Moussa;Wagué;23;1998-10-04;Bignona;Senegal;Senegal;177 cm;70 kg;;https://media.api-sports.io/football/players/141.png;13;Senegal;https://media.api-sports.io/football/teams/13.png;1;World Cup;World;https://media.api-sports.io/football/leagues/1.png;;2018;3;2;196;;Defender;6.766666;;1;0;1;1;1;1;0;;;62;4;16;3;;4;12;7;3;3;;1;1;0;0;0;;;0;0;
468;V. Ćorluka;Vedran;Ćorluka;35;1986-02-05;Derventa;Bosnia and Herzegovina;Croatia;192 cm;84 kg;;https://media.api-sports.io/football/players/468.png;3;Croatia;https://media.api-sports.io/football/teams/3.png;1;World Cup;World;https://media.api-sports.io/football/leagues/1.png;;2018;4;1;118;;Defender;6.900000;;3;0;6;;;0;0;;;64;;14;1;;3;14;9;3;3;;;3;1;0;0;;;0;0;
868;S. Khedira;Sami;Khedira;34;1987-04-04;Stuttgart;Germany;Germany;189 cm;90 kg;;https://media.api-sports.io/football/players/868.png;25;Germany;https://media.api-sports.io/football/teams/25.png;1;World Cup;World;https://media.api-sports.io/football/leagues/1.png;;2018;2;2;118;;Midfielder;6.600000;;0;2;1;1;1;0;0;;;104;1;43;4;;1;19;7;2;1;;1;2;0;0;0;;;0;0;
878;M. Mandžukić;Mario;Mandžukić;35;1986-05-21;Slavonski Brod;Croatia;Croatia;190 cm;85 kg;;https://media.api-sports.io/football/players/878.png;3;Croatia;https://media.api-sports.io/football/teams/3.png;1;World Cup;World;https://media.api-sports.io/football/leagues/1.png;;2018;6;6;609;;Attacker;7.333333;;0;4;1;11;5;3;0;1;;176;8;19;12;1;2;101;53;3;2;;12;13;2;0;0;;;0;0;
2751;M. Leckie;Mathew Allan;Leckie;30;1991-02-04;Melbourne;Australia;Australia;181 cm;82 kg;;https://media.api-sports.io/football/players/2751.png;20;Australia;https://media.api-sports.io/football/teams/20.png;1;World Cup;World;https://media.api-sports.io/football/leagues/1.png;;2018;3;3;270;;Midfielder;6.300000;;0;0;0;6;1;0;0;;;77;2;17;2;;2;60;29;10;5;;5;6;1;0;0;;;0;0;
19243;M. Obi;Mikel John;Obi;34;1987-04-22;Jos;Nigeria;Nigeria;188 cm;86 kg;;https://media.api-sports.io/football/players/19243.png;19;Nigeria;https://media.api-sports.io/football/teams/19.png;1;World Cup;World;https://media.api-sports.io/football/leagues/1.png;;2018;3;3;268;;Midfielder;6.633333;;0;1;0;;;0;0;;;149;3;40;8;;2;40;20;7;4;;1;5;1;0;0;;;0;0;
50741;M. Fabián;Marco Jhonfai;Fabián De La Mora;32;1989-07-21;Guadalajara;Mexico;Mexico;170 cm;65 kg;;https://media.api-sports.io/football/players/50741.png;16;Mexico;https://media.api-sports.io/football/teams/16.png;1;World Cup;World;https://media.api-sports.io/football/leagues/1.png;;2018;1;0;25;;Midfielder;6.700000;;1;0;4;;;0;0;;;11;1;9;1;;;2;1;;;;;1;0;0;0;;;0;0;
105371;G. dos Santos;Giovani;dos Santos Ramírez;32;1989-05-11;Ciudad de México;Mexico;Mexico;178 cm;71 kg;;https://media.api-sports.io/football/players/105371.png;16;Mexico;https://media.api-sports.io/football/teams/16.png;1;World Cup;World;https://media.api-sports.io/football/leagues/1.png;;2018;1;0;13;;Attacker;6.300000;;1;0;4;;;0;0;;;6;;5;1;;;3;1;;;;;;0;0;0;;;0;0;
141;M. Wagué;Moussa;Wagué;23;1998-10-04;Bignona;Senegal;Senegal;177 cm;70 kg;;https://media.api-sports.io/football/players/141.png;13;Senegal;https://media.api-sports.io/football/teams/13.png;6;Africa Cup of Nations;World;https://media.api-sports.io/football/leagues/6.png;;2019;3;2;190;;Defender;6.666666;;1;0;5;2;0;0;;;;80;0;54;3;0;1;29;15;4;2;;4;6;0;0;0;;;0;0;
2989;L. Gassama;Lamine;Gassama;32;1989-10-20;Marseille;France;Senegal;181 cm;74 kg;;https://media.api-sports.io/football/players/2989.png;13;Senegal;https://media.api-sports.io/football/teams/13.png;6;Africa Cup of Nations;World;https://media.api-sports.io/football/leagues/6.png;;2019;5;5;470;;Defender;7.240000;;0;1;2;0;0;0;;2;;124;4;76;3;1;6;40;24;9;6;;10;4;1;0;0;;;0;0;
3389;S. Sessègnon;Stéphane;Sessègnon;37;1984-06-01;Allahé;Benin;Benin;172 cm;72 kg;;https://media.api-sports.io/football/players/3389.png;1516;Benin;https://media.api-sports.io/football/teams/1516.png;6;Africa Cup of Nations;World;https://media.api-sports.io/football/leagues/6.png;;2019;4;4;390;;Midfielder;6.825000;;0;0;0;6;1;0;;;;90;2;79;4;0;3;39;22;9;6;;9;4;0;0;0;;1;0;0;
19243;M. Obi;Mikel John;Obi;34;1987-04-22;Jos;Nigeria;Nigeria;188 cm;86 kg;;https://media.api-sports.io/football/players/19243.png;19;Nigeria;https://media.api-sports.io/football/teams/19.png;6;Africa Cup of Nations;World;https://media.api-sports.io/football/leagues/6.png;;2019;2;2;117;;Midfielder;6.500000;;0;2;3;2;0;0;;;;45;1;78;;0;1;16;7;2;2;;4;2;0;0;0;;;0;0;
20915;E. Seka;Ernest;Seka Boka;34;1987-06-22;Clichy;France;Guinea;185 cm;89 kg;;https://media.api-sports.io/football/players/20915.png;1509;Guinea;https://media.api-sports.io/football/teams/1509.png;6;Africa Cup of Nations;World;https://media.api-sports.io/football/leagues/6.png;;2019;3;3;270;;Defender;6.800000;;0;0;1;0;0;0;;;;112;0;79;4;0;4;22;14;0;0;;3;2;1;0;0;;;0;0;
25647;I. Traoré;Ibrahima;Traoré;33;1988-04-21;Villepinte;France;Guinea;171 cm;61 kg;;https://media.api-sports.io/football/players/25647.png;1509;Guinea;https://media.api-sports.io/football/teams/1509.png;6;Africa Cup of Nations;World;https://media.api-sports.io/football/leagues/6.png;;2019;4;4;360;;Attacker;6.925000;;0;0;0;9;1;0;;1;;112;11;78;2;0;2;40;18;15;8;;5;3;0;0;0;1;;0;0;
44789;Y. Mulumbu;Youssouf Chafiq;Mulumbu Ngangu;34;1987-01-25;Kinshasa;Congo DR;Congo DR;177 cm;65 kg;;https://media.api-sports.io/football/players/44789.png;1508;Congo DR;https://media.api-sports.io/football/teams/1508.png;6;Africa Cup of Nations;World;https://media.api-sports.io/football/leagues/6.png;;2019;2;2;143;;Midfielder;6.150000;;0;2;1;0;0;0;;;;53;0;76;5;0;5;34;11;5;2;;2;11;1;0;0;;;0;0;
50237;H. Saivet;Henri;Saivet;31;1990-10-26;Dakar;Senegal;Senegal;174 cm;76 kg;;https://media.api-sports.io/football/players/50237.png;13;Senegal;https://media.api-sports.io/football/teams/13.png;6;Africa Cup of Nations;World;https://media.api-sports.io/football/leagues/6.png;;2019;6;5;448;;Midfielder;7.183333;;1;2;2;10;4;0;;;;140;10;74;6;1;5;43;25;2;2;;6;4;0;0;0;;;0;1;
73794;L. Matampi;Vumi Ley;Matampi;32;1989-04-18;Kinshasa;Congo DR;Congo DR;180 cm;75 kg;;https://media.api-sports.io/football/players/73794.png;1508;Congo DR;https://media.api-sports.io/football/teams/1508.png;6;Africa Cup of Nations;World;https://media.api-sports.io/football/leagues/6.png;;2019;4;4;390;;Goalkeeper;6.675000;;0;0;0;0;0;0;6;;11;81;0;69;;0;0;1;1;0;0;;1;0;0;0;0;;;0;0;0
1256;V. Jovanović;Vukašin;Jovanović;25;1996-05-17;Beograd;Serbia;Serbia;189 cm;88 kg;;https://media.api-sports.io/football/players/1256.png;78;Bordeaux;https://media.api-sports.io/football/teams/78.png;65;Coupe de la Ligue;France;https://media.api-sports.io/football/leagues/65.png;https://media.api-sports.io/flags/fr.svg;2019;1;1;90;;Defender;6.800000;;0;0;0;0;0;0;;;;64;1;83;;1;4;;;0;0;;1;1;0;0;0;;;0;0;
20701;H. Bazile;Hervé;Bazile;31;1990-03-18;Creteil;France;Haiti;181 cm;78 kg;;https://media.api-sports.io/football/players/20701.png;111;LE Havre;https://media.api-sports.io/football/teams/111.png;65;Coupe de la Ligue;France;https://media.api-sports.io/football/leagues/65.png;https://media.api-sports.io/flags/fr.svg;2019;1;0;13;;Attacker;6.800000;;1;0;1;0;0;0;;;;2;0;40;;0;1;;;0;0;;0;0;0;0;0;;;0;0;
21021;Abdoulaye Sané;Abdoulaye;Sané;29;1992-10-15;Diouloulou;Senegal;Senegal;180 cm;73 kg;;https://media.api-sports.io/football/players/21021.png;115;Sochaux;https://media.api-sports.io/football/teams/115.png;65;Coupe de la Ligue;France;https://media.api-sports.io/football/leagues/65.png;https://media.api-sports.io/flags/fr.svg;2019;1;0;27;;Attacker;6.300000;;1;0;1;1;0;0;;;;3;0;75;;0;0;;;0;0;;0;2;1;0;0;;;0;0;
21571;Hilton;Vitorino;Hilton da Silva;44;1977-09-13;Brasília;Brazil;Brazil;180 cm;78 kg;;https://media.api-sports.io/football/players/21571.png;82;Montpellier;https://media.api-sports.io/football/teams/82.png;65;Coupe de la Ligue;France;https://media.api-sports.io/football/leagues/65.png;https://media.api-sports.io/flags/fr.svg;2019;2;1;113;;Defender;6.950000;;1;0;1;1;0;0;;;;51;0;76;3;0;3;;;0;0;;1;0;0;0;0;;;0;0;
22131;M. Goicoechea;Mauro Daniel;Goicoechea Furia;33;1988-03-27;Montevideo;Uruguay;Uruguay;186 cm;82 kg;;https://media.api-sports.io/football/players/22131.png;96;Toulouse;https://media.api-sports.io/football/teams/96.png;65;Coupe de la Ligue;France;https://media.api-sports.io/football/leagues/65.png;https://media.api-sports.io/flags/fr.svg;2019;2;2;180;;Goalkeeper;6.250000;;0;0;0;0;0;0;5;;8;37;0;64;;0;0;;;0;0;;0;0;0;0;0;;;0;0;0
22155;Y. Sanogo;Yaya;Sanogo;28;1993-01-27;Massy;France;France;191 cm;74 kg;;https://media.api-sports.io/football/players/22155.png;96;Toulouse;https://media.api-sports.io/football/teams/96.png;65;Coupe de la Ligue;France;https://media.api-sports.io/football/leagues/65.png;https://media.api-sports.io/flags/fr.svg;2019;1;1;90;;Attacker;7.700000;;0;0;0;2;2;1;;;;12;1;66;;0;1;;;2;2;;6;4;0;0;0;;;0;0;
22246;L. Koné;Lamine;Koné;32;1989-02-01;Paris;France;Côte d'Ivoire;189 cm;90 kg;;https://media.api-sports.io/football/players/22246.png;95;Strasbourg;https://media.api-sports.io/football/teams/95.png;65;Coupe de la Ligue;France;https://media.api-sports.io/football/leagues/65.png;https://media.api-sports.io/flags/fr.svg;2019;1;1;90;;Defender;7.000000;;0;0;0;0;0;0;;;;58;0;87;1;0;1;;;0;0;;2;0;0;0;0;;;0;0;
179492;Edmilson Indjai Correia;Edmilson;Indjai Correia;21;2000-06-06;;Guinea-Bissau;Guinea-Bissau;;;;https://media.api-sports.io/football/players/179492.png;1063;Saint Etienne;https://media.api-sports.io/football/teams/1063.png;65;Coupe de la Ligue;France;https://media.api-sports.io/football/leagues/65.png;https://media.api-sports.io/flags/fr.svg;2019;2;1;90;;Midfielder;7.350000;;1;1;1;4;3;1;;;;10;0;66;1;0;2;;;2;1;;6;0;0;0;0;1;;0;0;
36016;L. Martínez;Luis Antonio;Martínez Jiménez;32;1987-04-29;Zacapoaxtla;Mexico;Mexico;176 cm;78 kg;;https://media.api-sports.io/football/players/36016.png;2294;Veracruz;https://media.api-sports.io/football/teams/2294.png;264;Copa MX;Mexico;https://media.api-sports.io/football/leagues/264.png;https://media.api-sports.io/flags/mx.svg;2019;1;1;59;;Midfielder;;;0;1;0;;;0;;;;;;;;;;;;;;;;;0;0;0;;;;;
1220;Y. Zhirkov;Yuri;Zhirkov;38;1983-08-20;Tambov;Russia;Russia;180 cm;75 kg;;https://media.api-sports.io/football/players/1220.png;4;Russia;https://media.api-sports.io/football/teams/4.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;6;5;450;;Defender;6.666666;;1;2;1;2;;0;0;;;193;3;24;9;1;11;52;25;3;1;;6;8;1;0;0;;;0;0;
1348;R. Neustädter;Roman;Neustädter;33;1988-02-18;Dnipro;Ukraine;Russia;190 cm;81 kg;;https://media.api-sports.io/football/players/1348.png;4;Russia;https://media.api-sports.io/football/teams/4.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;1;0;13;;Midfielder;5.700000;;1;0;2;;;0;0;;;3;;2;;;;;;;;;;;0;0;0;;;0;0;
5118;Sebastiá Gómez Pérez;Sebastiá;Gómez Pérez;38;1983-11-01;Montevideo;Uruguay;Andorra;;;;https://media.api-sports.io/football/players/5118.png;1110;andorra;https://media.api-sports.io/football/teams/1110.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;0;0;0;;Attacker;;;0;0;4;;;0;0;;;;;;;;;;;;;;;;0;0;0;;;0;0;
15419;Beka Mikeltadze;Beka;Mikeltadze;24;1997-11-26;Kutaisi;Georgia;Georgia;185 cm;77 kg;;https://media.api-sports.io/football/players/15419.png;1104;Georgia;https://media.api-sports.io/football/teams/1104.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;2;0;15;;Attacker;6.250000;;2;0;2;;;0;0;;;8;;5;;;;6;3;;;;;2;0;0;0;;;0;0;
18921;R. Brady;Robbie;Brady;29;1992-01-14;Dublin;Republic of Ireland;Republic of Ireland;176 cm;71 kg;;https://media.api-sports.io/football/players/18921.png;776;Rep. Of Ireland;https://media.api-sports.io/football/teams/776.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;6;4;380;;Midfielder;7.183333;;2;3;2;5;;0;0;1;;181;13;22;7;;3;47;25;9;8;;7;8;0;0;0;;;0;0;
20232;Ryan McLaughlin;Ryan;McLaughlin;27;1994-09-30;Belfast;Northern Ireland;Northern Ireland;183 cm;75 kg;;https://media.api-sports.io/football/players/20232.png;771;Northern Ireland;https://media.api-sports.io/football/teams/771.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;0;0;0;;Defender;;;0;0;2;;;0;0;;;;;;;;;;;;;;;;0;0;0;;;0;0;
24984;M. Palionis;Markus;Palionis;34;1987-05-12;Kaunas;Lithuania;Lithuania;194 cm;89 kg;;https://media.api-sports.io/football/players/24984.png;1097;Lithuania;https://media.api-sports.io/football/teams/1097.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;4;4;360;;Defender;6.825000;;0;0;0;1;;0;0;;;145;1;28;3;1;4;32;18;;;;2;4;1;0;0;;;0;0;
30779;Oscar Hiljemark;Oscar;Hiljemark;29;1992-06-28;Gislaved;Sweden;Sweden;184 cm;77 kg;;https://media.api-sports.io/football/players/30779.png;5;Sweden;https://media.api-sports.io/football/teams/5.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;0;0;0;;Midfielder;;;0;0;0;;;0;;;;;;;;;;;;;;;;;0;0;0;;;;;
30808;Emil Hallfreðsson;Emil;Hallfreðsson;37;1984-06-29;Hafnarfjörður;Iceland;Iceland;185 cm;83 kg;;https://media.api-sports.io/football/players/30808.png;18;Iceland;https://media.api-sports.io/football/teams/18.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;2;0;50;;Midfielder;6.300000;;2;0;2;;;0;0;;;18;;8;1;;;3;1;;;;;;0;0;0;;;0;0;
31673;Hysen Memolla;Hysen;Memolla;29;1992-07-03;Kavajë;Albania;Albania;186 cm;78 kg;;https://media.api-sports.io/football/players/31673.png;778;Albania;https://media.api-sports.io/football/teams/778.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;2;1;98;;Defender;6.750000;;1;0;4;;;0;0;1;;36;1;11;2;;;12;6;2;1;;2;1;0;0;0;;;0;0;
55890;Emilijus Zubas;Emilijus;Zubas;31;1990-07-10;Panevėžys;Lithuania;Lithuania;195 cm;80 kg;;https://media.api-sports.io/football/players/55890.png;1097;Lithuania;https://media.api-sports.io/football/teams/1097.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;0;0;0;;Goalkeeper;;;0;0;0;;;0;;;;;;;;;;;;;;;;;0;0;0;;;;;
56045;Ferran Pol Pérez;Ferran;Pol Pérez;38;1983-02-28;Andorra la Vella;Andorra;Andorra;;;;https://media.api-sports.io/football/players/56045.png;1110;andorra;https://media.api-sports.io/football/teams/1110.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;0;0;0;;Goalkeeper;;;0;0;0;;;0;;;;;;;;;;;;;;;;;0;0;0;;;;;
56103;Mattia Giardi;Mattia;Giardi;30;1991-12-15;;San Marino;San Marino;;;;https://media.api-sports.io/football/players/56103.png;1115;San Marino;https://media.api-sports.io/football/teams/1115.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;0;0;0;;Midfielder;;;0;0;4;;;0;0;;;;;;;;;;;;;;;;0;0;0;;;0;0;
56109;Luca Tosi;Luca;Tosi;27;1994-07-23;;San Marino;San Marino;;;;https://media.api-sports.io/football/players/56109.png;1115;San Marino;https://media.api-sports.io/football/teams/1115.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;1;1;46;;Midfielder;;;0;1;1;;;0;;;;;;;;;;;;;;;;;0;0;0;;;;;
70402;Alex Gasperoni;Alex;Gasperoni;37;1984-06-30;Città di San Marino;San Marino;San Marino;191 cm;;;https://media.api-sports.io/football/players/70402.png;1115;San Marino;https://media.api-sports.io/football/teams/1115.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;0;0;0;;Midfielder;;;0;0;0;;;0;;;;;;;;;;;;;;;;;0;0;0;;;;;
76880;Benjamin Tatar;Benjamin;Tatar;27;1994-05-18;Sarajevo;Bosnia and Herzegovina;Bosnia and Herzegovina;180 cm;73 kg;;https://media.api-sports.io/football/players/76880.png;1113;Bosnia & Herzegovina;https://media.api-sports.io/football/teams/1113.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;3;2;145;;Attacker;6.633333;;1;2;2;2;;0;0;;;51;2;13;1;;;14;4;2;1;;2;2;0;0;0;;;0;0;
76971;Irfan Hadžić;Irfan;Hadžić;28;1993-06-15;Prozor-Rama;Bosnia and Herzegovina;Bosnia and Herzegovina;192 cm;;;https://media.api-sports.io/football/players/76971.png;1113;Bosnia & Herzegovina;https://media.api-sports.io/football/teams/1113.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;1;0;11;;Attacker;6.200000;;1;0;2;;;0;0;;;2;;1;;;;3;1;;;;;;0;0;0;;;0;0;
124179;Mattia Stefanelli;Mattia;Stefanelli;28;1993-03-12;;San Marino;San Marino;;;;https://media.api-sports.io/football/players/124179.png;1115;San Marino;https://media.api-sports.io/football/teams/1115.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;0;0;0;;Attacker;;;0;0;0;;;0;;;;;;;;;;;;;;;;;0;0;0;;;;;
124369;Luca Nanni;Luca;Nanni;26;1995-01-30;;San Marino;San Marino;;;;https://media.api-sports.io/football/players/124369.png;1115;San Marino;https://media.api-sports.io/football/teams/1115.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;0;0;0;;Defender;;;0;0;1;;;0;0;;;;;;;;;;;;;;;;0;0;0;;;0;0;
134461;Adrián Rodrígues Gonçalves;Adrián;Rodrígues Gonçalves;33;1988-08-14;;Andorra;Andorra;;;;https://media.api-sports.io/football/players/134461.png;1110;andorra;https://media.api-sports.io/football/teams/1110.png;5;UEFA Nations League;World;https://media.api-sports.io/football/leagues/5.png;;2020;0;0;0;;Defender;;;0;0;4;;;0;0;;;;;;;;;;;;;;;;0;0;0;;;0;0;
292393;Anthony Ezequiel Stella Vespa;Anthony Ezequiel;Stella Vespa;20;2000-04-07;Montevideo;Uruguay;Uruguay;172 cm;71 kg;;https://media.api-sports.io/football/players/292393.png;9589;Ejea;https://media.api-sports.io/football/teams/9589.png;692;Segunda B - Group 5;Spain;https://media.api-sports.io/football/leagues/692.png;https://media.api-sports.io/flags/es.svg;2020;0;0;0;;Attacker;;;0;0;4;;;0;;;;;;;;;;;;;;;;;0;0;0;;;;;
292393;Anthony Ezequiel Stella Vespa;Anthony Ezequiel;Stella Vespa;20;2000-04-07;Montevideo;Uruguay;Uruguay;172 cm;71 kg;;https://media.api-sports.io/football/players/292393.png;9589;Ejea;https://media.api-sports.io/football/teams/9589.png;692;Segunda B - Group 5;Spain;https://media.api-sports.io/football/leagues/692.png;https://media.api-sports.io/flags/es.svg;2020;0;0;0;;Attacker;;;0;0;4;;;0;;;;;;;;;;;;;;;;;0;0;0;;;;;
292393;Anthony Ezequiel Stella Vespa;Anthony Ezequiel;Stella Vespa;20;2000-04-07;Montevideo;Uruguay;Uruguay;172 cm;71 kg;;https://media.api-sports.io/football/players/292393.png;9589;Ejea;https://media.api-sports.io/football/teams/9589.png;692;Segunda B - Group 5;Spain;https://media.api-sports.io/football/leagues/692.png;https://media.api-sports.io/flags/es.svg;2020;0;0;0;;Attacker;;;0;0;4;;;0;;;;;;;;;;;;;;;;;0;0;0;;;;;
122991;David Rodríguez Poblador;David;Rodríguez Poblador;30;1991-09-27;Madrid;Spain;Spain;;;;https://media.api-sports.io/football/players/122991.png;5271;Navalcarnero;https://media.api-sports.io/football/teams/5271.png;143;Copa del Rey;Spain;https://media.api-sports.io/football/leagues/143.png;https://media.api-sports.io/flags/es.svg;2020;4;4;267;;Midfielder;6.700000;;0;4;0;1;1;0;0;;;35;;29;2;;2;7;4;;;;2;2;0;0;0;;;0;0;
